,cloudy,cloudyFactor,cold,coldFactor,foggy,foggyFactor,rain,rainFactor,sunny,sunnyFactor,windy,windyFactor,datetime,Day,Temperature0,Temperature1,Temperature2,Temperature3,Temperature4,Weather0,Weather1,Weather2,Weather3,Weather4,foggyW,cloudyW,rainW,sunnyW,feels like temperature0,feels like temperature1,feels like temperature2,feels like temperature3,feels like temperature4,humidity0,humidity1,humidity2,humidity3,humidity4,max uv index0,max uv index1,max uv index2,max uv index3,max uv index4,precipitation probability0,precipitation probability1,precipitation probability2,precipitation probability3,precipitation probability4,visibility0,visibility1,visibility2,visibility3,visibility4,wind direction0,wind direction1,wind direction2,wind direction3,wind direction4,wind gust0,wind gust1,wind gust2,wind gust3,wind gust4,wind speed0,wind speed1,wind speed2,wind speed3,wind speed4
0,1,0.074000987,1,0.074000987,0,0,1,0.074000987,0,0,0,0,2016-12-06-0,2016-12-06,3,,,,,foggy,,,,,1,0,0,0,2,,,,,97,,,,,0,,,,,16,,,,,PO,,,,,NE,,,,,4,,,,,2,,,,
1,0,0,11,0.834269663,2,0.151685393,1,0.075842697,3,0.22752809,0,0,2016-12-06-1,2016-12-06,4,,,,,cloudy,,,,,0,1,0,0,3,,,,,93,,,,,0,,,,,5,,,,,MO,,,,,ENE,,,,,9,,,,,2,,,,
2,2,0.071084783,49,1.741577194,99,3.518696779,6,0.21325435,15,0.533135876,5,0.177711959,2016-12-06-2,2016-12-06,5,,,,,cloudy,,,,,0,1,0,0,4,,,,,95,,,,,0,,,,,6,,,,,MO,,,,,E,,,,,7,,,,,4,,,,
3,0,0,47,1.204806409,119,3.05046729,6,0.153805073,33,0.845927904,6,0.153805073,2016-12-06-3,2016-12-06,5,,,,,foggy,,,,,1,0,0,0,5,,,,,98,,,,,1,,,,,17,,,,,PO,,,,,E,,,,,7,,,,,2,,,,
4,0,0,11,0.289473684,44,1.157894737,4,0.105263158,9,0.236842105,1,0.026315789,2016-12-06-4,2016-12-06,8,,,,,cloudy,,,,,0,1,0,0,7,,,,,91,,,,,1,,,,,11,,,,,MO,,,,,ESE,,,,,7,,,,,2,,,,
5,2,0.052631579,21,0.552631579,17,0.447368421,70,1.842105263,23,0.605263158,46,1.210526316,2016-12-07-4,2016-12-07,12,11,,,,cloudy,cloudy,,,,0,1.75,0,0,10,10,,,,85,86,,,,1,1,,,,4,5,,,,MO,GO,,,,SSW,SSW,,,,18,18,,,,9,9,,,
6,0,0,11,0.298111142,1,0.027101013,25,0.677525322,4,0.108404051,10,0.271010129,2016-12-07-5,2016-12-07,12,11,,,,cloudy,cloudy,,,,0,1.75,0,0,10,10,,,,83,85,,,,1,1,,,,5,5,,,,GO,GO,,,,SSW,SSW,,,,18,20,,,,7,9,,,
7,8,0.239818319,33,0.989250568,14,0.419682059,116,3.477365632,14,0.419682059,69,2.068433005,2016-12-07-6,2016-12-07,11,11,,,,cloudy,cloudy,,,,0,1.75,0,0,9,9,,,,87,86,,,,0,0,,,,0,4,,,,GO,GO,,,,SSW,SW,,,,20,20,,,,7,9,,,
8,8,0.43231441,27,1.459061135,20,1.080786026,66,3.566593886,10,0.540393013,43,2.323689956,2016-12-07-7,2016-12-07,10,10,,,,cloudy,cloudy,,,,0,1.75,0,0,9,9,,,,89,86,,,,0,0,,,,4,4,,,,GO,GO,,,,SSW,SSW,,,,18,20,,,,7,9,,,
9,36,1.279526101,30,1.066271751,42,1.492780452,128,4.549426138,27,0.959644576,74,2.630136986,2016-12-08-2,2016-12-08,10,10,11,,,cloudy,cloudy,cloudy,,,0,2.3125,0,0,9,8,9,,,89,86,91,,,0,0,0,,,4,6,19,,,MO,GO,GO,,,SSW,SSW,SSW,,,16,18,18,,,7,7,9,,
